iter	Passed	Remaining
0	58	17524
1	59	8818
2	59	5908
3	60	4454
4	60	3581
5	61	3000
6	61	2583
7	62	2271
8	62	2029
9	63	1842
10	64	1689
11	64	1557
12	65	1444
13	65	1346
14	66	1260
15	66	1186
16	67	1120
17	67	1062
18	68	1009
19	68	962
20	69	920
21	69	881
22	70	846
23	70	813
24	71	783
25	71	757
26	72	732
27	73	710
28	73	688
29	74	666
30	74	646
31	75	628
32	75	610
33	75	594
34	76	578
35	76	563
36	77	551
37	77	537
38	78	525
39	79	515
40	79	504
41	80	493
42	80	482
43	81	472
44	81	462
45	82	453
46	82	444
47	83	435
48	83	427
49	83	419
50	84	412
51	84	404
52	85	397
53	85	391
54	86	384
55	86	377
56	87	371
57	87	365
58	88	361
59	89	356
60	89	351
61	90	346
62	90	341
63	91	336
64	91	332
65	92	327
66	92	322
67	93	318
68	93	313
69	94	310
70	94	305
71	95	301
72	95	297
73	96	293
74	96	289
75	97	285
76	97	282
77	97	278
78	98	275
79	98	271
80	99	268
81	99	265
82	100	262
83	101	259
84	101	257
85	102	254
86	102	251
87	103	248
88	103	245
89	104	243
90	104	240
91	105	237
92	105	235
93	106	232
94	106	229
95	107	227
96	108	226
97	108	224
98	110	223
99	110	221
100	111	219
101	111	216
102	112	214
103	112	212
104	113	210
105	113	207
106	114	205
107	114	203
108	115	201
109	115	200
110	116	197
111	116	196
112	117	194
113	117	192
114	118	190
115	118	188
116	119	186
117	119	184
118	120	183
119	120	181
120	121	179
121	121	177
122	122	175
123	122	174
124	123	172
125	123	171
126	124	169
127	124	167
128	125	166
129	126	165
130	126	163
131	127	161
132	127	160
133	127	158
134	128	157
135	128	155
136	129	153
137	129	152
138	130	150
139	130	149
140	131	147
141	131	146
142	132	145
143	132	143
144	133	142
145	133	140
146	134	139
147	134	138
148	135	137
149	135	135
150	136	134
151	136	133
152	137	131
153	137	130
154	138	129
155	138	128
156	139	127
157	140	125
158	140	124
159	141	123
160	141	122
161	142	121
162	142	120
163	143	118
164	143	117
165	144	116
166	144	115
167	145	114
168	145	112
169	146	111
170	146	110
171	147	110
172	148	108
173	148	107
174	149	106
175	149	105
176	150	104
177	151	103
178	151	102
179	152	101
180	152	100
181	153	99
182	153	98
183	153	97
184	154	96
185	155	95
186	155	94
187	156	93
188	156	92
189	157	91
190	157	90
191	158	89
192	158	88
193	159	86
194	159	85
195	160	84
196	160	83
197	160	82
198	161	81
199	162	81
200	162	80
201	163	79
202	163	78
203	164	77
204	164	76
205	165	75
206	165	74
207	166	73
208	166	72
209	167	71
210	167	70
211	168	69
212	168	68
213	169	68
214	169	67
215	170	66
216	170	65
217	171	64
218	171	63
219	172	62
220	173	61
221	173	60
222	173	60
223	174	59
224	174	58
225	175	57
226	175	56
227	176	55
228	176	54
229	177	53
230	177	53
231	178	52
232	178	51
233	179	50
234	179	49
235	180	48
236	180	48
237	181	47
238	181	46
239	182	45
240	182	44
241	183	43
242	183	43
243	184	42
244	184	41
245	185	40
246	185	39
247	186	39
248	186	38
249	187	37
250	187	36
251	188	35
252	189	35
253	189	34
254	190	33
255	190	32
256	191	32
257	191	31
258	192	30
259	193	29
260	193	28
261	194	28
262	194	27
263	195	26
264	196	25
265	196	25
266	197	24
267	197	23
268	198	22
269	198	22
270	199	21
271	201	20
272	201	19
273	202	19
274	202	18
275	203	17
276	203	16
277	204	16
278	204	15
279	205	14
280	205	13
281	206	13
282	206	12
283	207	11
284	208	10
285	208	10
286	209	9
287	209	8
288	209	7
289	210	7
290	210	6
291	211	5
292	211	5
293	212	4
294	212	3
295	212	2
296	213	2
297	213	1
298	214	0
299	214	0
